PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Nationality,Occupation,TravelPurpose,LuggageCount,HasLifeboatAccess,Name
1,1,1,male,37.5,0,0,TICK995047,69.84,,C,British,Aristocrat,Migration,4,0,Dr. William Taylor
2,0,3,male,27.9,3,2,TICK592246,17.11,,S,British,Farmer,Business,4,0,Dr. James Davis
3,0,2,male,26.5,0,0,TICK949252,40.86,D65,S,American,Teacher,Leisure,1,0,Dr. John Johnson
4,0,3,male,26.5,0,0,TICK640633,18.73,,S,American,Laborer,Migration,10,0,Mr. James Lewis
5,1,1,female,53.7,0,0,TICK738244,431.62,,Q,American,Aristocrat,Leisure,4,1,Mrs. Alice Taylor
6,1,3,female,,3,2,TICK876564,15.25,C69,S,Irish,Servant,Migration,1,1,Miss. Sarah Taylor
7,1,3,female,23.0,0,0,TICK803762,5.78,,C,French,Factory Worker,Migration,3,1,Mrs. Elizabeth Davis
8,0,3,male,38.1,1,0,TICK847712,16.74,,S,American,Farmer,Migration,0,0,Mr. Thomas Taylor
9,0,3,male,33.6,0,0,TICK38079,17.68,,S,British,Factory Worker,Migration,1,0,Mr. William Walker
10,0,3,male,1.3,0,0,TICK363645,16.99,,S,British,Laborer,Business,1,0,Rev. Thomas Clark
11,0,3,male,14.8,1,0,TICK75200,12.63,,Q,French,Laborer,Leisure,0,0,Dr. Thomas Johnson
12,0,3,male,34.7,0,0,TICK997050,8.49,,S,Other,Factory Worker,Migration,0,1,Dr. John Harris
13,0,3,male,52.0,2,0,TICK437459,17.68,,S,French,Farmer,Leisure,0,0,Dr. William Clark
14,0,3,female,26.6,2,0,TICK628203,15.91,B66,S,American,Laborer,Leisure,1,1,Mrs. Mary Smith
15,1,3,female,21.8,1,0,TICK776201,19.71,,S,British,Laborer,Migration,4,1,Miss. Elizabeth Lewis
16,0,3,male,31.7,0,0,TICK643182,7.34,,C,British,Servant,Migration,5,0,Master. James Taylor
17,0,3,male,21.0,1,1,TICK975508,8.38,A60,S,American,Laborer,Leisure,2,1,Dr. John Smith
18,0,1,female,25.6,1,0,TICK85508,129.55,,S,British,Lawyer,Business,1,0,Mrs. Alice Brown
19,1,3,female,29.8,0,0,TICK931630,16.89,A63,S,American,Laborer,Migration,1,1,Mrs. Elizabeth Lewis
20,0,3,female,,0,4,TICK579211,7.8,,S,British,Farmer,Migration,0,0,Miss. Elizabeth Smith
21,1,3,male,42.3,2,0,TICK503028,6.0,A77,S,British,Laborer,Migration,0,0,Mr. George Lewis
22,1,3,male,11.7,0,0,TICK993582,19.98,,S,British,Factory Worker,Migration,2,1,Rev. George Wilson
23,0,3,male,,0,0,TICK136753,5.37,D44,S,Irish,Factory Worker,Migration,1,0,Rev. Thomas Smith
24,0,3,male,33.0,0,0,TICK284648,17.53,C99,S,British,Laborer,Migration,4,0,Mr. George Clark
25,1,3,female,41.1,0,4,TICK759466,10.48,,S,American,Laborer,Business,1,1,Miss. Sarah Johnson
26,0,3,male,32.6,0,1,TICK44768,17.62,,S,British,Farmer,Migration,2,0,Master. George Harris
27,0,3,female,28.3,3,2,TICK110116,13.32,,C,British,Farmer,Leisure,9,1,Mrs. Margaret Walker
28,0,3,male,25.5,0,0,TICK38329,18.52,,S,Irish,Farmer,Leisure,6,0,Mr. George Harris
29,1,3,male,23.1,0,0,TICK521719,18.89,,S,British,Farmer,Business,0,0,Rev. George Johnson
30,0,1,female,45.9,0,0,TICK533261,34.28,,C,French,Lawyer,Migration,2,1,Mrs. Alice Johnson
31,1,2,female,34.9,0,0,TICK237186,13.02,,S,British,Nurse,Leisure,1,0,Mrs. Margaret Smith
32,1,2,male,,2,2,TICK682927,20.01,,S,American,Clerk,Migration,0,0,Rev. John Lewis
33,0,3,male,19.8,1,5,TICK368271,15.04,,S,British,Laborer,Migration,1,0,Dr. Thomas Johnson
34,1,3,male,39.2,2,1,TICK453476,18.32,,C,American,Servant,Migration,0,0,Rev. William Walker
35,0,3,female,45.5,0,2,TICK501792,11.9,,S,American,Factory Worker,Leisure,0,0,Mrs. Elizabeth Taylor
36,0,1,female,44.0,0,0,TICK319157,315.28,,C,British,Merchant,Migration,3,0,Miss. Margaret Wilson
37,1,3,male,17.4,0,0,TICK820506,7.83,,S,American,Farmer,Business,1,0,Rev. Thomas Wilson
38,0,2,male,25.4,1,0,TICK892115,42.2,,Q,American,Nurse,Business,0,1,Rev. James Harris
